file,category,loc
iOSMerchandiseControl/Sync/Manual/SupabaseManualSyncCoordinator.swift,Manual,650
iOSMerchandiseControl/Sync/Manual/SupabaseManualSyncCoordinatorModels.swift,Manual,106
iOSMerchandiseControl/Sync/Manual/SupabaseManualSyncLifecycleRunGate.swift,Manual,303
iOSMerchandiseControl/Sync/Manual/SupabaseManualSyncLocalPendingSnapshotProvider.swift,Manual,314
iOSMerchandiseControl/Sync/Manual/SupabaseManualSyncOutboxProducerConversions.swift,Manual,77
iOSMerchandiseControl/Sync/Manual/SupabaseManualSyncReleaseActivityRegistrationAdapter.swift,Manual,147
iOSMerchandiseControl/Sync/Manual/SupabaseManualSyncReleaseFactory.swift,Manual,846
iOSMerchandiseControl/Sync/Manual/SupabaseManualSyncRemotePreview.swift,Manual,317
iOSMerchandiseControl/Sync/Manual/SupabaseManualSyncSemiAutomaticPolicy.swift,Manual,86
iOSMerchandiseControl/Sync/Manual/SupabaseManualSyncViewModel.swift,Manual,6550
iOSMerchandiseControl/Sync/Manual/SupabaseProductPriceManualPushService.swift,Manual,746
iOSMerchandiseControl/Sync/Manual/SupabaseProductPricePreviewService.swift,Manual,361
iOSMerchandiseControl/Sync/Manual/SupabaseProductPricePushDryRunService.swift,Manual,882
iOSMerchandiseControl/Sync/Manual/SupabasePushPreflightViewModel.swift,Manual,441
iOSMerchandiseControl/Sync/Manual/SupabaseSyncEventDebugFormatting.swift,Manual,206
iOSMerchandiseControl/Sync/Manual/SupabaseSyncEventDebugViewModel.swift,Manual,171
iOSMerchandiseControl/Sync/Manual/SupabaseSyncEventIncrementalApplyService.swift,Manual,219
iOSMerchandiseControl/Sync/Manual/SupabaseSyncEventPreviewService.swift,Manual,183
iOSMerchandiseControl/Sync/Manual/SupabaseSyncPlanContract.swift,Manual,203
iOSMerchandiseControl/Sync/Manual/SyncEventOutboxDrainDebugViewModel.swift,Manual,343
iOSMerchandiseControl/Sync/Outbox/LocalOutboxStore.swift,Automatic,34
iOSMerchandiseControl/Sync/Outbox/PendingChangeCoalescer.swift,Automatic,59
iOSMerchandiseControl/Sync/Outbox/SyncEventOutboxDrainService.swift,Automatic,471
iOSMerchandiseControl/Sync/Outbox/SyncEventOutboxDrainer.swift,Automatic,29
iOSMerchandiseControl/Sync/Outbox/SyncEventOutboxEnqueueService.swift,Automatic,517
iOSMerchandiseControl/Sync/Outbox/SyncEventOutboxEntry.swift,Automatic,546
iOSMerchandiseControl/Sync/Outbox/SyncEventOutboxRecorder.swift,Automatic,15
iOSMerchandiseControl/Sync/Outbox/SyncEventOutboxState.swift,Automatic,523
iOSMerchandiseControl/Sync/Recovery/BootstrapPullService.swift,Recovery,20
iOSMerchandiseControl/Sync/Recovery/DriftReconciliationService.swift,Recovery,21
iOSMerchandiseControl/Sync/Recovery/FullRecoveryService.swift,Recovery,20
iOSMerchandiseControl/Sync/Recovery/InventorySyncService.swift,Recovery,287
iOSMerchandiseControl/Sync/Recovery/RecoveryRemoteSupabaseAdapter.swift,Recovery,27
iOSMerchandiseControl/Sync/Recovery/SupabaseProductPriceApplyService.swift,Recovery,1783
iOSMerchandiseControl/Sync/Recovery/SupabasePullApplyService.swift,Recovery,1752
iOSMerchandiseControl/Sync/Recovery/SupabasePullPreviewModels.swift,Recovery,627
iOSMerchandiseControl/Sync/Recovery/SupabasePullPreviewService.swift,Recovery,1018
iOSMerchandiseControl/Sync/Recovery/SwiftDataInventorySnapshotService.swift,Recovery,341
iOSMerchandiseControl/Sync/Recovery/SyncCountReconciliation.swift,Recovery,226
iOSMerchandiseControl/Sync/Remote/CatalogRemoteSupabaseAdapter.swift,Remote,158
iOSMerchandiseControl/Sync/Remote/HistorySessionRemoteSupabaseAdapter.swift,Remote,130
iOSMerchandiseControl/Sync/Remote/ProductPriceRemoteSupabaseAdapter.swift,Remote,265
iOSMerchandiseControl/Sync/Remote/SupabaseInventoryDTOs.swift,Remote,96
iOSMerchandiseControl/Sync/Remote/SupabaseRemoteQueryExecutor.swift,Remote,183
iOSMerchandiseControl/Sync/Remote/SupabaseSyncEventDTOs.swift,Remote,238
iOSMerchandiseControl/Sync/Remote/SupabaseSyncEventLiveRecorder.swift,Remote,293
iOSMerchandiseControl/Sync/Remote/SupabaseSyncEventRPCTransport.swift,Remote,44
iOSMerchandiseControl/Sync/Remote/SupabaseSyncEventRealtimeWatcher.swift,Remote,72
iOSMerchandiseControl/Sync/Remote/SupabaseTransportClient.swift,Remote,136
iOSMerchandiseControl/Sync/Remote/SyncEventRPCRequestMapper.swift,Remote,221
iOSMerchandiseControl/Sync/Remote/SyncEventRecording.swift,Remote,633
iOSMerchandiseControl/Sync/Remote/SyncEventRemoteSupabaseAdapter.swift,Remote,137
iOSMerchandiseControl/Sync/Shared/AutomaticSharedBoundary.swift,Shared,4
iOSMerchandiseControl/Sync/Shared/HistorySessionSyncShared.swift,Shared,297
iOSMerchandiseControl/Sync/Shared/SyncStringCollectionHelpers.swift,Shared,7
iOSMerchandiseControl/Sync/SyncAutomaticRuntime.swift,Automatic,3
iOSMerchandiseControl/Sync/SyncAutomaticRuntimeProviders.swift,Automatic,2
iOSMerchandiseControl/Sync/SyncOrchestrator.swift,Automatic,472
iOSMerchandiseControl/Sync/SyncRecoveryPolicy.swift,Recovery,68
iOSMerchandiseControlTests/AccountSyncPolicyTests.swift,Tests,253
iOSMerchandiseControlTests/AutomaticSyncReconnectSchedulerTests.swift,Tests,52
iOSMerchandiseControlTests/CloudSyncOverviewStateTests.swift,Tests,95
iOSMerchandiseControlTests/ExcelAnalyzerHTMLParsingTests.swift,Tests,351
iOSMerchandiseControlTests/HistorySessionSyncServiceTests.swift,Tests,554
iOSMerchandiseControlTests/HistoryViewStateTests.swift,Tests,22
